,PDB,SP
12043,3HYK,Q81JG3
12044,3HYM,Q13042
12045,3HYQ,Q8ZM82
12046,3HYR,P33650
12047,3HYV,O67931
12048,3HZJ,Q5R372
12049,3HZN,P15888
12050,3HZQ,P68806
12051,3HZS,Q7A0I6
12052,3HZU,P9WHF7
12053,3HZZ,Q53865
12054,3I0U,Q8VSP9
12055,3I12,P0A1F0
12056,3I1H,Q16548
12057,3I26,P0C0V9
12058,3I2B,Q03393
12059,3I2D,Q04195
12060,3I2N,Q96MX6
12061,3I2T,P04412
12062,3I2V,O95396
12063,3I33,P54652
12064,3I35,Q14847
12065,3I3N,Q9NVR0
12066,3I3W,Q5NII8
12067,3I4H,Q8U1S4
12068,3I4O,P9WKK3
12069,3I4U,Q14562
12070,3I4W,P78352
12071,3I4X,Q50EL0
12072,3I53,Q84HC8
12073,3I5F,P05945
12074,3I5P,P38181
12075,3I5V,P09978
12076,3I5X,P15424
12077,3I6D,P32397
12078,3I6P,P0ABF4
12079,3I6S,O82777
12080,3I71,P76540
12081,3I7O,Q58WW2
12082,3I7P,Q5T6F0
12083,3I89,Q96JK2
12084,3I8C,Q8WV16
12085,3I8E,Q5TAQ9
12086,3I8O,Q58928
12087,3I8Z,O00257
12088,3I91,Q9HC52
12089,3I96,P63746
12090,3I99,Q9KV40
12091,3I9W,P39453
12092,3IA8,Q8WY91
12093,3IAB,P53218
12094,3IAC,Q8ZM23
12095,3IAR,P00813
12096,3IAU,P25306
12097,3IAX,P04480
12098,3IAY,P15436
12099,3IBD,P20813
12100,3IBG,Q4WY07
12101,3IBT,O33472
12102,3IBV,O94258
12103,3IBY,Q8GNS3
12104,3IC1,P44514
12105,3ICA,Q7MXR4
12106,3ICF,P53043
12107,3ICI,E2RA18
12108,3ICO,P9WQP5
12109,3ICU,Q8TEB7
12110,3ID5,P58032
12111,3IDD,Q9HL27
12112,3IDV,P13667
12113,3IE4,Q9NHA8
12114,3IEC,P55980
12115,3IEF,Q6G1R9
12116,3IEG,Q91YW3
12117,3IEI,Q9UIC8
12118,3IET,Q62011
12119,3IEV,O67800
12120,3IEW,Q63T71
12121,3IEY,Q74MP4
12122,3IEZ,Q13576
12123,3IF8,Q9H900
12124,3IFA,O00757
12125,3IFE,Q81WU4
12126,3IFS,Q81K75
12127,3IFZ,P9WG47
12128,3IG2,Q5LC76
12129,3IG3,P70208
12130,3IG5,P32477
12131,3IG9,Q7Y5B1
12132,3IGS,Q8ZLQ7
12133,3IHG,Q54530
12134,3IHI,P07607
12135,3IHJ,Q8TD30
12136,3IHO,O95243
12137,3IHW,Q96P47
12138,3IHX,Q9NQV6
12139,3IHY,Q8NEB9
12140,3II0,P17174
12141,3II2,Q70LE6
12142,3II7,Q8IXQ5
12143,3IIE,B1JQG4
12144,3IIW,O75530
12145,3IJ5,Q8ZB47
12146,3IJF,P9WPH3
12147,3IJI,Q8A861
12148,3IJP,Q6G2G3
12149,3IK4,A9B055
12150,3IKK,O95292
12151,3IKM,P54098
12152,3IKT,Q72I39
12153,3IL3,P43711
12154,3IL4,Q820T1
12155,3IL7,Q6GIA4
12156,3ILF,D7GXG0
12157,3ILK,P44676
12158,3IM4,O43572
12159,3IM5,E9Q401
12160,3IM9,Q99UN8
12161,3IML,Q63YH5
12162,3INN,Q8YFC9
12163,3IO3,Q6BSM0
12164,3IO4,P42858
12165,3IO5,P04529
12166,3IOL,P43220
12167,3IP1,Q9WYP3
12168,3IPI,Q8PYS1
12169,3IPL,P63526
12170,3IPV,P86352
12171,3IPZ,Q84Y95
12172,3IQ2,Q9UNH6
12173,3IQG,P45040
12174,3IQT,P0AEC6
12175,3IR3,P86397
12176,3IR9,Q8PX75
12177,3IRP,Q4A0V8
12178,3ISL,O32148
12179,3ISP,P9WMF5
12180,3ISQ,P32754
12181,3ISU,Q86VI3
12182,3ISY,P39804
12183,3IT4,P9WPZ3
12184,3IT5,P14789
12185,3IT9,P08506
12186,3ITE,K7NCP5
12187,3ITF,P0AE85
12188,3IUC,P11021
12189,3IUF,Q92785
12190,3IUG,A7KAX9
12191,3IUY,Q86TM3
12192,3IV3,Q8DWE5
12193,3IVS,Q9Y823
12194,3IVZ,Q9UYV8
12195,3IW4,P17252
12196,3IWJ,Q93YB2
12197,3IWK,Q8VWZ1
12198,3IWP,Q9NTM9
12199,3IWZ,P22260
12200,3IX0,P08118
12201,3IX1,Q9K9G5
12202,3IX6,P67042
12203,3IX7,Q5SKV3
12204,3IX9,Q54801
12205,3IXO,P04588
12206,3IXQ,Q58998
12207,3IXT,P03420
12208,3IXV,P80476
12209,3IY8,P0A7R9
12210,3IYJ,P03103
12211,3IZZ,P0ADY3
12212,3J0A,O60602
12213,3J0P,P0CX43
12214,3J0S,P60706
12215,3J15,Q5JIB9
12216,3J1O,Q99278
12217,3J25,Q47810
12218,3J26,B4YNG0
12219,3J27,P14340
12220,3J2M,P11112
12221,3J2U,Q960Z0
12222,3J2V,P03149
12223,3J2W,Q5XXP3
12224,3J3I,Q8JVC1
12225,3J3V,Q06796
12226,3J46,P0A7L0
12227,3J4A,P03728
12228,3J4B,P03746
12229,3J4J,P48515
12230,3J5Q,P0C247
12231,3J5S,P0A9W3
12232,3J5V,B3FK34
12233,3J63,Q9ULZ3
12234,3J67,P36022
12235,3J6B,P25626
12236,3J6C,Q7Z434
12237,3J6H,P28738
12238,3J6P,P34036
12239,3J79,O96184
12240,3J7A,O97249
12241,3J7O,Q29195
12242,3J7P,P63246
12243,3J7Q,Q29205
12244,3J7Y,Q8TAE8
12245,3J7Z,P03063
12246,3J80,P38912
12247,3J83,P9WJD9
12248,3J8D,P17763
12249,3J8G,P0A6P5
12250,3J8H,P62943
12251,3J92,O94822
12252,3J9B,Q9Q0V0
12253,3J9M,Q9NWT8
12254,3J9T,P32366
12255,3J9W,Q7WY64
12256,3J9X,Q8V9P2
12257,3J9Y,P0A7J3
12258,3JA7,P13334
12259,3JA8,P29469
12260,3JAA,Q9Y253
12261,3JAC,E2JF22
12262,3JAD,O93430
12263,3JAP,P38249
12264,3JAS,Q2XVP4
12265,3JAV,P29994
12266,3JB4,Q8JV21
12267,3JB9,P39964
12268,3JBL,Q3UP24
12269,3JBR,P13806
12270,3JBS,Q02326
12271,3JBW,O13033
12272,3JC2,P01239
12273,3JC5,Q08032
12274,3JCA,P03365
12275,3JCJ,P0A705
12276,3JCK,P43588
12277,3JCO,P53549
12278,3JCR,Q9BUQ8
12279,3JCS,P62885
12280,3JCT,Q03862
12281,3JD5,Q2KI62
12282,3JD6,O15537
12283,3JPW,Q00960
12284,3JQW,Q46085
12285,3JQY,A1ADJ6
12286,3JRK,P63705
12287,3JRN,Q9SSN3
12288,3JRQ,P49597
12289,3JRR,P70227
12290,3JRS,Q8VZS8
12291,3JRU,Q5H4N2
12292,3JS3,Q186A6
12293,3JSB,P14240
12294,3JSK,Q1K6I4
12295,3JSL,Q9AIU7
12296,3JST,P65722
12297,3JSY,P54049
12298,3JT0,P20700
12299,3JTG,Q3UPW2
12300,3JTJ,Q8ZGA4
12301,3JTM,Q9S7E4
12302,3JTN,P50734
12303,3JTP,P37958
12304,3JTT,Q6V7J5
12305,3JU5,Q9XY07
12306,3JU8,O50174
12307,3JUA,Q62296
12308,3JUB,Q9BVM4
12309,3JUE,Q15027
12310,3JUI,Q13144
12311,3JUS,Q16850
12312,3JUU,D7GXF9
12313,3JV3,Q9Z0R4
12314,3JV5,Q9WTK5
12315,3JVA,Q834W6
12316,3JVC,Q9PRA0
12317,3JVF,Q96F46
12318,3JVU,P24559
12319,3JWP,Q8IE47
12320,3JWR,P18545
12321,3JXA,Q69Z26
12322,3JXE,O59584
12323,3JXF,P23471
12324,3JXG,Q05909
12325,3JXI,A0A1D5PXA5
12326,3JXT,O88602
12327,3JXV,Q43207
12328,3JYC,F1NHE9
12329,3JYH,Q9UHL4
12330,3JYR,P19576
12331,3JYU,P35123
12332,3JZ3,P40719
12333,3JZ4,P25526
12334,3JZ7,P97792
12335,3JZE,P06204
12336,3JZV,Q2RSU5
12337,3K07,P38054
12338,3K0X,P0C5Y7
12339,3K10,P38960
12340,3K1D,P9WN45
12341,3K1R,Q9Y6N9
12342,3K1Z,Q9BSH5
12343,3K21,Q9NJU9
12344,3K28,Q81LD0
12345,3K2A,O14770
12346,3K2B,P25856
12347,3K2C,Q8SRE1
12348,3K2I,Q8N9L9
12349,3K2L,Q92630
12350,3K2O,Q6NYC1
12351,3K2Z,O33927
12352,3K32,Q58102
12353,3K35,Q8N6T7
12354,3K3C,P9WLZ7
12355,3K3F,Q72CX3
12356,3K3K,O49686
12357,3K3P,P95803
12358,3K3V,P32909
12359,3K40,P05031
12360,3K46,P05804
12361,3K49,Q07807
12362,3K4O,Q60352
12363,3K5B,P74901
12364,3K5Q,Q09312
12365,3K5R,Q9WTR5
12366,3K5S,P33150
12367,3K5W,P56176
12368,3K66,Q10651
12369,3K6G,Q9NYB0
12370,3K6T,Q17339
12371,3K6Y,P9WHR9
12372,3K7B,P68617
12373,3K7G,Q14623
12374,3K7L,D3TTC2
12375,3K7M,Q93NH4
12376,3K7N,D3TTC1
12377,3K86,O87008
12378,3K8A,Q5F924
12379,3K8G,O67998
12380,3K8K,Q8A1G3
12381,3K8P,Q12745
12382,3K8Z,P50735
12383,3K92,P39633
12384,3K96,Q83BJ0
12385,3K9T,Q97H19
12386,3K9V,Q09128
12387,3K9W,Q3JW91
12388,3KAA,Q8VIM0
12389,3KAO,P0A009
12390,3KAP,P80312
12391,3KAT,Q9C000
12392,3KAZ,O80992
12393,3KB3,Q9CAJ0
12394,3KB5,Q6ZMU5
12395,3KB9,Q9K499
12396,3KBB,Q9X0Y1
12397,3KBE,P34697
12398,3KBG,Q56230
12399,3KBO,Q8ZQ30
12400,3KBQ,Q9HKV6
12401,3KBR,Q01269
12402,3KC2,P36151
12403,3KCI,O95714
12404,3KCU,P0AC25
12405,3KCZ,Q9UGN5
12406,3KD9,O58308
12407,3KDE,Q7M3K2
12408,3KEO,Q8E565
12409,3KER,O35215
12410,3KF3,P24133
12411,3KF6,Q0E7J7
12412,3KF9,Q06827
12413,3KFD,P01137
12414,3KFF,P11590
12415,3KFO,P36161
12416,3KFU,Q9LCX3
12417,3KFV,O95049
12418,3KG0,O54259
12419,3KG4,Q65TW5
12420,3KG5,P40259
12421,3KGB,O62584
12422,3KGK,P46003
12423,3KGR,Q6GTX8
12424,3KGW,O35423
12425,3KH0,Q12967
12426,3KH5,Q58622
12427,3KH7,Q9I3N1
12428,3KHF,O60307
12429,3KHO,P15530
12430,3KHP,I6YBZ8
12431,3KHX,Q5HF23
12432,3KIK,Q03067
12433,3KIO,Q9CWY8
12434,3KIP,Q59Z17
12435,3KJ4,Q99M75
12436,3KJZ,A0R3D3
12437,3KKB,O34206
12438,3KKJ,Q888A4
12439,3KKL,Q08914
12440,3KKR,P19560
12441,3KL4,P18962
12442,3KL8,Q9JI15
12443,3KLJ,Q9AL95
12444,3KLR,P20821
12445,3KLU,P45930
12446,3KLW,P67673
12447,3KLX,Q9SSM7
12448,3KM3,Q2GLJ4
12449,3KM5,P59915
12450,3KMH,A0A6M7H989
12451,3KMP,P70340
12452,3KMZ,O75376
12453,3KN1,Q9H4A6
12454,3KNF,Q8IIS0
12455,3KNU,Q2GIL5
12456,3KOS,P12529
12457,3KOW,E3PY95
12458,3KP8,Q2JJF6
12459,3KPB,Q57564
12460,3KPK,B7JBP8
12461,3KQ0,P02763
12462,3KQ4,O60494
12463,3KQX,Q8IL11
12464,3KR7,Q9H2K2
12465,3KRE,Q2GHH2
12466,3KRM,Q9NZI8
12467,3KS4,Q8JPY0
12468,3KS9,Q13255
12469,3KSC,P02857
12470,3KT1,P40032
12471,3KT9,Q7Z2E3
12472,3KTC,Q6D5T7
12473,3KTG,P80244
12474,3KTR,Q99700
12475,3KTW,Q980W2
12476,3KTZ,P33186
12477,3KU7,O25099
12478,3KUF,P51114
12479,3KUI,P15170
12480,3KUJ,Q8IYD1
12481,3KUL,P29322
12482,3KUQ,Q96QB1
12483,3KUV,Q1EMV2
12484,3KUZ,O60486
12485,3KV5,Q6ZMT4
12486,3KVE,P0DI84
12487,3KVH,Q9BRJ7
12488,3KVN,O33407
12489,3KVO,Q6YN16
12490,3KVP,O31797
12491,3KW6,P62195
12492,3KWC,Q8DKB5
12493,3KWM,Q5NFM5
12494,3KWO,Q0P891
12495,3KXB,P02281
12496,3KXE,P58091
12497,3KXP,Q988D4
12498,3KXQ,Q8L1Z5
12499,3KXT,Q97ZE3
12500,3KXY,P26995
12501,3KY7,Q6GHJ5
12502,3KY9,P15498
12503,3KYQ,Q5EGY4
12504,3KYS,P28347
12505,3KYZ,Q04804
12506,3KZ4,P17462
12507,3KZ5,P62558
12508,3KZ7,Q62446
12509,3KZA,P02758
12510,3KZC,Q8P8J2
12511,3KZD,Q13009
12512,3KZV,P40579
12513,3L07,Q5NGF3
12514,3L0O,P38527
12515,3L0Z,Q58993
12516,3L11,Q8IYW5
12517,3L15,Q15562
12518,3L1E,P02470
12519,3L1L,P60063
12520,3L1N,O42721
12521,3L1P,P20263
12522,3L1X,O95155
12523,3L24,Q44238
12524,3L2B,Q8XIQ9
12525,3L2C,P98177
12526,3L2I,P58687
12527,3L2O,Q9UKT5
12528,3L2P,P49916
12529,3L32,Q0GBY3
12530,3L3P,Q8VSC3
12531,3L40,Q10337
12532,3L43,Q9UQ16
12533,3L44,Q81YV0
12534,3L46,Q9H8V3
12535,3L4C,Q14185
12536,3L4E,P58495
12537,3L4G,Q9Y285
12538,3L4H,Q76N89
12539,3L4M,Q51658
12540,3L4N,Q12438
12541,3L4R,O18874
12542,3L50,O60234
12543,3L51,Q8CG48
12544,3L5K,Q08623
12545,3L60,O06159
12546,3L6B,Q9GZT4
12547,3L6I,P0AB26
12548,3L6P,P33478
12549,3L6W,Q10583
12550,3L78,Q8DU17
12551,3L7I,Q5HLM5
12552,3L7O,Q8DTT9
12553,3L86,Q8DV44
12554,3L87,Q8DWC2
12555,3L8C,Q5XBN5
12556,3L8H,Q7WG29
12557,3L8N,Q9Y6D5
12558,3L92,Q8ZJN9
12559,3L9B,Q9ERC5
12560,3L9C,Q8DUW4
12561,3L9E,P82205
12562,3L9Q,P49643
12563,3L9S,P0A2H9
12564,3L9Z,Q09064
12565,3LA2,P0A4U6
12566,3LA4,P07374
12567,3LA6,P76387
12568,3LAC,Q81NT5
12569,3LAD,P18925
12570,3LAE,Q57017
12571,3LAF,Q63155
12572,3LAQ,P35456
12573,3LAT,O33635
12574,3LAY,Q9L9I0
12575,3LAZ,P39829
12576,3LB6,Q14627
12577,3LBF,P0A7A5
12578,3LBX,P02549
12579,3LCA,P10591
12580,3LCC,Q0WP12
12581,3LCN,Q04839
12582,3LCU,Q7M0R2
12583,3LD9,Q2GHN3
12584,3LDV,Q9KQT7
12585,3LDZ,Q92783
12586,3LE2,Q9S7T8
12587,3LER,Q9PPB4
12588,3LET,Q87P32
12589,3LF5,Q7L1T6
12590,3LFM,Q9C0B1
12591,3LG0,Q6LFH8
12592,3LG6,D2YW48
12593,3LG8,Q57673
12594,3LGA,Q9V1J7
12595,3LGB,P20457
12596,3LGD,Q9NZK5
12597,3LGO,P38247
12598,3LGX,Q99ZA6
12599,3LH4,B7PKZ1
12600,3LHK,Q60329
12601,3LHR,P17028
12602,3LIM,B9W5G6
12603,3LIO,P84612
12604,3LJ5,P26744
12605,3LJB,P20591
12606,3LJK,Q5NFC4
12607,3LK7,Q8E186
12608,3LKK,Q9HLX1
12609,3LKM,P42527
12610,3LKX,P20290
12611,3LL8,P24588
12612,3LL9,O26153
12613,3LLI,O00391
12614,3LLL,Q9WVE8
12615,3LLM,Q08211
12616,3LLO,Q9EPH0
12617,3LLQ,Q8UJW4
12618,3LLU,Q9HB90
12619,3LM0,O94768
12620,3LM6,P40869
12621,3LM8,O34664
12622,3LMK,P41594
12623,3LMN,Q9Y4E8
12624,3LN3,Q8VC28
12625,3LN6,Q8DXM9
12626,3LN7,Q9CM00
12627,3LNC,Q2GLF7
12628,3LND,P97326
12629,3LNR,Q9I6V6
12630,3LO7,P9WKD1
12631,3LOB,P12870
12632,3LOC,P0ACU2
12633,3LP3,P0C6F2
12634,3LP6,P9WHM1
12635,3LP9,D4AEP7
12636,3LPE,Q57839
12637,3LPH,P69718
12638,3LPL,P0AFG9
12639,3LPN,Q97CA5
12640,3LPO,P14410
12641,3LQ1,Q71YZ2
12642,3LQ9,Q9NX09
12643,3LQB,Q1LW01
12644,3LQD,P08535
12645,3LQM,Q08334
12646,3LQU,P66032
12647,3LQZ,P20036
12648,3LRE,Q8NI77
12649,3LRK,P04824
12650,3LRP,Q7KQL3
12651,3LRQ,O94972
12652,3LSW,Q9Z2W9
12653,3LTI,P0A8V2
12654,3LTL,Q9Y6D6
12655,3LU1,Q7BJX9
12656,3LUC,Q9UKV8
12657,3LV8,Q9KQI2
12658,3LVG,P04975
12659,3LVJ,P0A6B9
12660,3LW2,P22777
12661,3LW5,Q32904
12662,3LW6,Q9VBZ9
12663,3LWB,P9WP31
12664,3LWE,Q99549
12665,3LWK,P53673
12666,3LWT,P32368
12667,3LWZ,Q8ZAX1
12668,3LX1,Q5JF32
12669,3LX2,Q5JFD3
12670,3LX7,Q96ES7
12671,3LXJ,Q9ULI0
12672,3LXM,Q8ZB39
12673,3LXN,P29597
12674,3LXU,Q9V6K1
12675,3LXX,Q9NUV9
12676,3LXY,P58719
12677,3LY5,Q9NVP1
12678,3LY7,P23890
12679,3LYF,D3K5I7
12680,3LYI,O95696
12681,3LYK,P45207
12682,3LYN,Q01381
12683,3LYR,Q9UH73
12684,3LYV,Q5XAQ7
12685,3LZC,O58832
12686,3LZS,P24740
12687,3LZW,O05268
12688,3M03,Q9Y5N6
12689,3M1C,P89445
12690,3M1H,Q51817
12691,3M1L,I6Y778
12692,3M1N,Q15465
12693,3M1R,P42068
12694,3M2L,P09616
12695,3M2M,P11762
12696,3M3H,Q81WF6
12697,3M3W,Q99JB8
12698,3M45,Q8BLQ9
12699,3M5B,Q9Y2Y4
12700,3M5U,Q9PIH3
12701,3M5W,Q9PIB4
12702,3M65,P37945
12703,3M66,Q96E29
12704,3M6C,P9WPE9
12705,3M6I,Q7SI09
12706,3M6M,P0C0F6
12707,3M6U,Q5SII2
12708,3M70,P45134
12709,3M71,P44741
12710,3M7F,Q60760
12711,3M7O,O88188
12712,3M7V,Q8DTU0
12713,3M86,Q4GZL2
12714,3M8E,Q8KNP2
12715,3M8W,Q818Z9
12716,3M91,P9WQN5
12717,3M92,P0AB64
12718,3M9E,P18113
12719,3M9Q,P50536
12720,3M9W,P37387
12721,3M9Y,Q6GIL6
12722,3M9Z,P27811
12723,3MAL,Q93ZE8
12724,3MAO,Q9NZV6
12725,3MAW,P12572
12726,3MAX,Q92769
12727,3MAY,I6X8R5
12728,3MAZ,Q9GZY6
12729,3MB3,Q8WWQ0
12730,3MBD,Q8SSM8
12731,3MBG,P55789
12732,3MBQ,Q2YRG4
12733,3MC2,Q9DBD0
12734,3MC6,Q05567
12735,3MCA,Q9USL5
12736,3MCE,Q13765
12737,3MCF,Q8NFP7
12738,3MD0,P9WPZ1
12739,3MD1,P32588
12740,3MD9,Q56991
12741,3MDU,Q9HU77
12742,3MDY,O00238
12743,3MDZ,P43166
12744,3ME4,O35305
12745,3MEJ,Q7WY78
12746,3MEK,Q9H7B4
12747,3MEN,Q3JUN4
12748,3MEY,Q89VT8
12749,3MEZ,P86626
12750,3MFD,P35150
12751,3MG1,P74102
12752,3MGJ,Q58875
12753,3MGZ,A5U2B7
12754,3MH8,P9WK45
12755,3MHD,O95407
12756,3MIL,P41734
12757,3MIW,Q82035
12758,3MIX,P35620
12759,3MJ6,Q80UL9
12760,3MJF,Q8ZAR2
12761,3MJK,P04085
12762,3MJM,B1IV40
12763,3MJP,P24589
12764,3MK3,P66038
12765,3MK7,D9IA43
12766,3MKH,B2AM55
12767,3MKL,P37639
12768,3MKO,P07399
12769,3MKQ,P53622
12770,3MKR,Q27954
12771,3ML1,P39185
12772,3ML3,Q7BCK4
12773,3ML4,Q18PE0
12774,3MLN,Q07802
12775,3MLQ,Q9KWU7
12776,3MLR,P12490
12777,3MM4,O22267
12778,3MM5,Q59109
12779,3MMG,P09814
12780,3MMI,P32492
12781,3MMK,Q9CXV0
12782,3MMR,Q8I384
12783,3MN8,P42787
12784,3MNE,P06537
12785,3MNL,P96856
12786,3MNM,P38817
12787,3MOG,P76083
12788,3MOP,O43187
12789,3MOS,P29401
12790,3MP2,P0C6V2
12791,3MP7,Q8TZK2
12792,3MPD,Q8SRM7
12793,3MPG,Q81WF0
12794,3MPI,C3UVB0
12795,3MPK,P16575
12796,3MPX,Q6ZNL6
12797,3MQ1,P14004
12798,3MQ2,P25920
12799,3MQ3,P35816
12800,3MQ4,Q14831
12801,3MQM,Q9NR48
12802,3MQP,Q13794
12803,3MR1,Q9ZCD3
12804,3MS5,O75936
12805,3MS6,O43504
12806,3MSR,Q4A724
12807,3MSV,Q9USJ7
12808,3MSX,Q9P2F6
12809,3MT5,Q12791
12810,3MTC,P32019
12811,3MTE,A8C927
12812,3MTG,O43865
12813,3MTL,Q00536
12814,3MTS,O43463
12815,3MTX,Q90890
12816,3MUE,Q8ZRR1
12817,3MUJ,Q9H4W6
12818,3MVA,Q99551
12819,3MVC,Q18086
12820,3MVE,Q8DF91
12821,3MW3,Q63376
12822,3MW4,Q6P9K9
12823,3MWD,P53396
12824,3MWP,P13699
12825,3MWX,P39840
12826,3MX7,Q9NVQ4
12827,3MXL,C4RPA1
12828,3MXN,Q9H9A7
12829,3MXO,Q96HS1
12830,3MXT,Q9PIK2
12831,3MXU,Q6G2F0
12832,3MXZ,O04350
12833,3MY0,P37023
12834,3MY2,P0ADV9
12835,3MYD,O06758
12836,3MYO,P63703
12837,3MYP,Q5HE13
12838,3MYU,Q49410
12839,3MZ0,P26935
12840,3MZS,P00189
12841,3N08,O84741
12842,3N0F,Q9AR86
12843,3N0L,P24531
12844,3N0U,Q9X2E1
12845,3N1B,Q5SPW0
12846,3N1G,Q9BWV1
12847,3N1H,D9J034
12848,3N1S,P0ACE7
12849,3N26,Q9Z869
12850,3N28,Q9KPM2
12851,3N29,A8FNH9
12852,3N2B,Q9KVL7
12853,3N2D,P02400
12854,3N2L,Q9KVD5
12855,3N2N,Q9H6X2
12856,3N2O,Q7MK24
12857,3N2S,P39605
12858,3N2W,Q52VH2
12859,3N2Z,P42785
12860,3N37,P37146
12861,3N39,P0A772
12862,3N3F,P39059
12863,3N3U,Q06277
12864,3N3W,Q9PM40
12865,3N4J,Q74Y93
12866,3N4P,P16732
12867,3N4R,P25651
12868,3N52,P10889
12869,3N54,P39571
12870,3N58,Q2YQX8
12871,3N5A,Q9R0N7
12872,3N5F,Q53389
12873,3N5N,Q9UIF7
12874,3N6Q,Q46851
12875,3N6R,Q5LUF3
12876,3N71,P97443
12877,3N75,P0A9H3
12878,3N77,Q8ZNF5
12879,3N79,Q9XDM8
12880,3N89,Q95ZK7
12881,3N8E,P38646
12882,3N8H,Q5NF57
12883,3N8T,Q5JDJ7
12884,3N90,O22160
12885,3N93,Q13324
12886,3N9I,Q8ZJF2
12887,3N9L,P08898
12888,3N9M,Q9GYI0
12889,3N9Y,P10109
12890,3NAR,Q9UKY1
12891,3NAS,O06995
12892,3NAU,Q9Y6X8
12893,3NAV,Q9KST7
12894,3NAZ,P27472
12895,3NB3,OMPC_SHIFL
12896,3NBC,B2ZRS9
12897,3NBU,P0A6T1
12898,3NBX,P31473
12899,3NC3,O34926
12900,3NCP,O28527
12901,3NCT,P10031
12902,3NCV,Q5F8M6
12903,3NCY,P60066
12904,3ND5,Q831P9
12905,3NDC,O68100
12906,3NDN,P9WGB5
12907,3NDQ,P23193
12908,3NDR,Q988B7
12909,3NDY,P28623
12910,3NE2,O28846
12911,3NEA,Q5NGZ6
12912,3NEK,Q57623
12913,3NEP,Q2S289
12914,3NER,O43169
12915,3NET,Q8YMC2
12916,3NEY,Q00013
12917,3NF1,Q07866
12918,3NFC,P0AE70
12919,3NFH,Q01080
12920,3NFK,P03524
12921,3NFL,Q12879
12922,3NFQ,Q06505
12923,3NFZ,Q91XE4
12924,3NG0,P77961
12925,3NG2,O88846
12926,3NG3,A0QLL2
12927,3NGG,P83952
12928,3NGH,Q9JIL4
12929,3NGK,P0A1C7
12930,3NGL,Q05213
12931,3NGN,Q96LI5
12932,3NH6,Q9NP58
12933,3NH7,P36894
12934,3NI0,Q8R2Q8
12935,3NIH,P19812
12936,3NIO,Q9I3S3
12937,3NIP,Q9I6K2
12938,3NJC,P42955
12939,3NJE,Q00517
12940,3NJT,P35077
12941,3NK3,P79762
12942,3NK6,P52391
12943,3NKD,Q46896
12944,3NKM,Q9R1E6
12945,3NKS,P50336
12946,3NKU,Q29ST3
12947,3NKV,Q9H0U4
12948,3NKZ,A1JSR8
12949,3NM4,Q9ZMY2
12950,3NMD,Q13976
12951,3NME,Q9FEB5
12952,3NMR,Q92879
12953,3NMV,O04719
12954,3NO0,O67108
12955,3NO6,Q8CNK1
12956,3NO8,Q9BX70
12957,3NO9,P9WN93
12958,3NOE,Q9I4W3
12959,3NOI,O14931
12960,3NOJ,A5W059
12961,3NOY,O67496
12962,3NPE,O24592
12963,3NPH,P73204
12964,3NPP,P54940
12965,3NQB,Q7CUX4
12966,3NQR,P0A2L3
12967,3NQW,Q9VAM9
12968,3NR1,Q8N4P3
12969,3NR5,Q9H063
12970,3NR6,A1Z651
12971,3NR7,P0A1S2
12972,3NR8,O15357
12973,3NR9,P49760
12974,3NRE,P76584
12975,3NRX,O43663
12976,3NS4,P47061
12977,3NS5,P06103
12978,3NSG,P37432
12979,3NSJ,P10820
12980,3NSM,Q06GJ0
12981,3NSU,P40485
12982,3NTH,O76922
12983,3NTK,P25823
12984,3NTW,Q9H074
12985,3NU7,Q9HZ76
12986,3NUA,Q0TTB4
12987,3NUM,Q92743
12988,3NUQ,P53078
12989,3NV0,Q9XVS8
12990,3NV7,O26010
12991,3NVA,Q980S6
12992,3NVE,P04273
12993,3NVG,P04925
12994,3NVI,Q8U160
12995,3NVL,Q38AH1
12996,3NVO,Q9EYX5
12997,3NVS,Q9KRB0
12998,3NVX,P21062
12999,3NWJ,Q8GY88
13000,3NWN,Q9HAQ2
13001,3NWS,P32797
13002,3NWV,P99999
13003,3NWY,P9WHK5
13004,3NX3,Q9PIR7
13005,3NXA,Q96FQ6
13006,3NXB,Q9BXF3
13007,3NXC,P0C093
13008,3NXD,P03089
13009,3NXH,P96499
13010,3NY1,Q8IWV7
13011,3NY2,Q8IWV8
13012,3NYB,Q12476
13013,3NYC,Q9HXE3
13014,3NZ4,Q6GZ04
13015,3NZI,Q9CZU6
13016,3NZQ,P21170
13017,3O08,P33284
13018,3O0A,O66680
13019,3O0R,Q59647
13020,3O0V,P14211
13021,3O10,Q9NZJ4
13022,3O12,P40893
13023,3O24,Q4WAW7
13024,3O26,Q071N0
13025,3O2P,Q12018
13026,3O2Q,Q9NP77
13027,3O2T,Q92797
13028,3O2U,P52491
13029,3O39,Q8XDZ4
13030,3O3I,Q96J94
13031,3O3M,Q5U924
13032,3O3R,Q5RJP0
13033,3O46,Q5T2T1
13034,3O4F,P09158
13035,3O4O,Q9NPH3
13036,3O4R,Q9BTZ2
13037,3O4Z,P53038
13038,3O59,O57861
13039,3O5N,Q4ACU6
13040,3O5S,P04957
13041,3O63,P9WG75
13042,3O65,Q9H3M9
13043,3O6C,Q9PN59
13044,3O6Q,O34853
13045,3O70,Q86YI8
13046,3O72,Q8XAS4
13047,3O7B,O29524
13048,3O7P,P11551
13049,3O7X,Q8TC59
13050,3O8J,Q56063
13051,3O8L,P00511
13052,3O8O,P16861
